CompanyId,CompanyName,CompanyAddress,CompanyPhone
1,ABC Company,123 Main St,123-456-7890
2,XYZ Corporation,456 Oak Ave,987-654-3210
3,LMN Enterprises,789 Pine Blvd,345-678-9012
4,PQR Innovations,101 Cedar Ln,567-890-1234
5,DEF Solutions,202 Maple Rd,234-567-8901
6,UVW Technologies,303 Birch St,789-012-3456
7,HIJ Services,404 Elm Ave,012-345-6789
8,RST Industries,505 Oakwood Dr,890-123-4567
9,EFG Solutions,606 Walnut Rd,123-234-5678
10,MNO Enterprises,707 Cedar Blvd,456-789-0123
11,JKL Innovations,808 Pine Ln,678-901-2345
12,QWE Corporation,909 Birch Ave,789-012-3456
13,XYZ Solutions,1010 Oak St,012-345-6789
14,ABC Technologies,1111 Maple Dr,123-456-7890
15,LMN Services,1212 Pine Rd,234-567-8901
16,PQR Solutions,1313 Elm Blvd,345-678-9012
17,DEF Corporation,1414 Cedar Ave,456-789-0123
18,UVW Innovations,1515 Walnut Ln,567-890-1234
19,HIJ Enterprises,1616 Birch Dr,678-901-2345
20,RST Technologies,1717 Oakwood Blvd,789-012-3456
21,EFG Services,1818 Maple Ln,890-123-4567
22,MNO Solutions,1919 Pine Ave,901-234-5678
23,JKL Corporation,2020 Elm Rd,012-345-6789
24,QWE Innovations,2121 Cedar St,123-456-7890
25,XYZ Enterprises,2222 Oak Ave,234-567-8901
26,ABC Innovations,2323 Maple Dr,345-678-9012
27,LMN Technologies,2424 Pine Blvd,456-789-0123
28,PQR Services,2525 Elm Ln,567-890-1234
29,DEF Enterprises,2626 Birch Rd,678-901-2345
30,UVW Corporation,2727 Oak Blvd,789-012-3456
